"","Luxembourg","Belgium","Unspecified Area","Zambia","Democratic Republic of the Congo","Viet Nam","Venezuela (Bolivarian Republic of)","Uzbekistan","Uruguay","United States of America","Ukraine","United Kingdom","Uganda","United Arab Emirates","Turkey","Trinidad and Tobago","Thailand","United Republic of Tanzania","China, Taiwan Province of","Turkmenistan","Syrian Arab Republic","Switzerland","Sweden","Eswatini","Sudan (former)","Spain","South Africa","Singapore","Slovakia","Slovenia","Sierra Leone","Saudi Arabia","Sao Tome and Principe","Serbia and Montenegro","Russian Federation","Romania","Zimbabwe","Guinea-Bissau","Portugal","Poland","Philippines","Peru","Paraguay","Papua New Guinea","Czechia","Panama","Norway","Niger","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands Antilles (former)","Netherlands","Republic of Moldova","Mozambique","Morocco","Mexico","Mauritius","Malta","Malaysia","Malawi","Madagascar","China, Macao SAR","Lithuania","Libya","Lebanon","Lao People's Democratic Republic","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Kyrgyzstan","Jordan","Japan","Jamaica","Kazakhstan","Côte d'Ivoire","Italy","Israel","Ireland","Iraq","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Greece","Ghana","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Fiji","Estonia","El Salvador","Egypt","Ecuador","Dominican Republic","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Congo","Colombia","China, mainland","Chile","Sri Lanka","Cayman Islands","Cabo Verde","Canada","Cameroon","Myanmar","Bulgaria","Brunei Darussalam","Belize","Brazil","Bolivia (Plurinational State of)","Bangladesh","Barbados","Austria","Australia","Argentina","Angola","Algeria","Albania","Afghanistan"
"Luxembourg","0.0000000","    0.0000","0","0","0","   0.000","    0.00","0","   0.000","     0.00000","0","   0.0000","0","0","      0.0","0","     0.0","0","    0.00","0","     0.0","   0.0000","   0.000000","0","0","     0.0000","   0.000","0"," 0.000000","   0.00000","0","    0.0000","0","     0.000","0.00000000","0.000000e+00","  0.00","0","0.000000e+00","  0.0000","    0.00","    0.0","  0.0000","0","0.000000","0","0.000000","0","0","0","0","0","0","     0.00000"," 0.00","   0.000","    0.00","0","0","0","     0.0000","0","0","0","0","0"," 0.00000","0","0","0","0","0","0","    0.00","0.0000000","0","    0.000","0","0","0","    0.0000","     0.0","   0.00","0","0","    0.000","0","0","   0.00000","     0.0","0","0","0","    0.0000","0","0","    0.0000","  0.0000","0","0.000000e+00"," 0.000000"," 0.00000","0","    0.00","     0.0","0","0","   0.000000","0","   0.000","0","    0.00","0","    0.000","      0","    0.0","   0.0000","0","0","  0.0000","0","0","0","0","0","0","0"," 0.00000","0","    0.000000"," 0.00000","0","   0.000","0.000000","    0.00","0"
"Belgium","0.0000000","    0.0000","0","0","0","   0.000","    0.00","0","   0.000","     0.00000","0","   0.0000","0","0","      0.0","0","     0.0","0","    0.00","0","     0.0","   0.0000","   0.000000","0","0","     0.0000","   0.000","0"," 0.000000","   0.00000","0","    0.0000","0","     0.000","0.00000000","0.000000e+00","  0.00","0","0.000000e+00","  0.0000","    0.00","    0.0","  0.0000","0","0.000000","0","0.000000","0","0","0","0","0","0","     0.00000"," 0.00","   0.000","    0.00","0","0","0","     0.0000","0","0","0","0","0"," 0.00000","0","0","0","0","0","0","    0.00","0.0000000","0","    0.000","0","0","0","    0.0000","     0.0","   0.00","0","0","    0.000","0","0","   0.00000","     0.0","0","0","0","    0.0000","0","0","    0.0000","  0.0000","0","0.000000e+00"," 0.000000"," 0.00000","0","    0.00","     0.0","0","0","   0.000000","0","   0.000","0","    0.00","0","    0.000","      0","    0.0","   0.0000","0","0","  0.0000","0","0","0","0","0","0","0"," 0.00000","0","    0.000000"," 0.00000","0","   0.000","0.000000","    0.00","0"
"Unspecified Area","0.0000000","    0.0000","0","0","0","   0.000","    0.00","0","   0.000","     0.00000","0","   0.0000","0","0","      0.0","0","     0.0","0","    0.00","0","     0.0","   0.0000","   0.000000","0","0","     0.0000","   0.000","0"," 0.000000","   0.00000","0","    0.0000","0","     0.000","0.00000000","0.000000e+00","  0.00","0","0.000000e+00","  0.0000","    0.00","    0.0","  0.0000","0","0.000000","0","0.000000","0","0","0","0","0","0","     0.00000"," 0.00","   0.000","    0.00","0","0","0","     0.0000","0","0","0","0","0"," 0.00000","0","0","0","0","0","0","    0.00","0.0000000","0","    0.000","0","0","0","    0.0000","     0.0","   0.00","0","0","    0.000","0","0","   0.00000","     0.0","0","0","0","    0.0000","0","0","    0.0000","  0.0000","0","0.000000e+00"," 0.000000"," 0.00000","0","    0.00","     0.0","0","0","   0.000000","0","   0.000","0","    0.00","0","    0.000","      0","    0.0","   0.0000","0","0","  0.0000","0","0","0","0","0","0","0"," 0.00000","0","    0.000000"," 0.00000","0","   0.000","0.000000","    0.00","0"
"Zambia","0.0000000","    0.0000","0","0","0","   0.000","    0.00","0","   0.000","     0.00000","0","   0.0000","0","0","      0.0","0","     0.0","0","    0.00","0","     0.0","   0.0000","   0.000000","0","0","     0.0000","   0.000","0"," 0.000000","   0.00000","0","    0.0000","0","     0.000","0.00000000","0.000000e+00","  0.00","0","0.000000e+00","  0.0000","    0.00","    0.0","  0.0000","0","0.000000","0","0.000000","0","0","0","0","0","0","     0.00000"," 0.00","   0.000","    0.00","0","0","0","     0.0000","0","0","0","0","0"," 0.00000","0","0","0","0","0","0","    0.00","0.0000000","0","    0.000","0","0","0","    0.0000","     0.0","   0.00","0","0","    0.000","0","0","   0.00000","     0.0","0","0","0","    0.0000","0","0","    0.0000","  0.0000","0","0.000000e+00"," 0.000000"," 0.00000","0","    0.00","     0.0","0","0","   0.000000","0","   0.000","0","    0.00","0","    0.000","      0","    0.0","   0.0000","0","0","  0.0000","0","0","0","0","0","0","0"," 0.00000","0","    0.000000"," 0.00000","0","   0.000","0.000000","    0.00","0"
"Democratic Republic of the Congo","0.0000000","    0.0000","0","0","0","   0.000","    0.00","0","   0.000","     0.00000","0","   0.0000","0","0","      0.0","0","     0.0","0","    0.00","0","     0.0","   0.0000","   0.000000","0","0","     0.0000","   0.000","0"," 0.000000","   0.00000","0","    0.0000","0","     0.000","0.00000000","0.000000e+00","  0.00","0","0.000000e+00","  0.0000","    0.00","    0.0","  0.0000","0","0.000000","0","0.000000","0","0","0","0","0","0","     0.00000"," 0.00","   0.000","    0.00","0","0","0","     0.0000","0","0","0","0","0"," 0.00000","0","0","0","0","0","0","    0.00","0.0000000","0","    0.000","0","0","0","    0.0000","     0.0","   0.00","0","0","    0.000","0","0","   0.00000","     0.0","0","0","0","    0.0000","0","0","    0.0000","  0.0000","0","0.000000e+00"," 0.000000"," 0.00000","0","    0.00","     0.0","0","0","   0.000000","0","   0.000","0","    0.00","0","    0.000","      0","    0.0","   0.0000","0","0","  0.0000","0","0","0","0","0","0","0"," 0.00000","0","    0.000000"," 0.00000","0","   0.000","0.000000","    0.00","0"
"Viet Nam","0.0000000","    0.0000","0","0","0","   0.000","    0.00","0","   0.000","     0.00000","0","   0.0000","0","0","      0.0","0","     0.0","0","    0.00","0","     0.0","   0.0000","   0.000000","0","0","     0.0000","   0.000","0"," 0.000000","   0.00000","0","    0.0000","0","     0.000","0.00000000","0.000000e+00","  0.00","0","0.000000e+00","  0.0000","    0.00","    0.0","  0.0000","0","0.000000","0","0.000000","0","0","0","0","0","0","     0.00000"," 0.00","   0.000","    0.00","0","0","0","     0.0000","0","0","0","0","0"," 0.00000","0","0","0","0","0","0","    0.00","0.0000000","0","    0.000","0","0","0","    0.0000","     0.0","   0.00","0","0","    0.000","0","0","   0.00000","     0.0","0","0","0","    0.0000","0","0","    0.0000","  0.0000","0","0.000000e+00"," 0.000000"," 0.00000","0","    0.00","     0.0","0","0","   0.000000","0","   0.000","0","    0.00","0","    0.000","      0","    0.0","   0.0000","0","0","  0.0000","0","0","0","0","0","0","0"," 0.00000","0","    0.000000"," 0.00000","0","   0.000","0.000000","    0.00","0"
"Venezuela (Bolivarian Republic of)","0.0000000","    0.0000","0","0","0","   0.000","    0.00","0","   0.000","     0.00000","0","   0.0000","0","0","      0.0","0","     0.0","0","    0.00","0","     0.0","   0.0000","   0.000000","0","0","     0.0000","   0.000","0"," 0.000000","   0.00000","0","    0.0000","0","     0.000","0.00000000","0.000000e+00","  0.00","0","0.000000e+00","  0.0000","    0.00","    0.0","  0.0000","0","0.000000","0","0.000000","0","0","0","0","0","0","     0.00000"," 0.00","   0.000","    0.00","0","0","0","     0.0000","0","0","0","0","0"," 0.00000","0","0","0","0","0","0","    0.00","0.0000000","0","    0.000","0","0","0","    0.0000","     0.0","   0.00","0","0","    0.000","0","0","   0.00000","     0.0","0","0","0","    0.0000","0","0","    0.0000","  0.0000","0","0.000000e+00"," 0.000000"," 0.00000","0","    0.00","     0.0","0","0","   0.000000","0","   0.000","0","    0.00","0","    0.000","      0","    0.0","   0.0000","0","0","  0.0000","0","0","0","0","0","0","0"," 0.00000","0","    0.000000"," 0.00000","0","   0.000","0.000000","    0.00","0"
"Uzbekistan","0.0000000","    0.0000","0","0","0","   0.000","    0.00","0","   0.000","     0.00000","0","   0.0000","0","0","      0.0","0","     0.0","0","    0.00","0","     0.0","   0.0000","   0.000000","0","0","     0.0000","   0.000","0"," 0.000000","   0.00000","0","    0.0000","0","     0.000","0.00000000","0.000000e+00","  0.00","0","0.000000e+00","  0.0000","    0.00","    0.0","  0.0000","0","0.000000","0","0.000000","0","0","0","0","0","0","     0.00000"," 0.00","   0.000","    0.00","0","0","0","     0.0000","0","0","0","0","0"," 0.00000","0","0","0","0","0","0","    0.00","0.0000000","0","    0.000","0","0","0","    0.0000","     0.0","   0.00","0","0","    0.000","0","0","   0.00000","     0.0","0","0","0","    0.0000","0","0","    0.0000","  0.0000","0","0.000000e+00"," 0.000000"," 0.00000","0","    0.00","     0.0","0","0","   0.000000","0","   0.000","0","    0.00","0","    0.000","      0","    0.0","   0.0000","0","0","  0.0000","0","0","0","0","0","0","0"," 0.00000","0","    0.000000"," 0.00000","0","   0.000","0.000000","    0.00","0"
"Uruguay","0.0000000","    0.0000","0","0","0","   0.000","    0.00","0","   0.000","     0.00000","0","   0.0000","0","0","      0.0","0","     0.0","0","    0.00","0","     0.0","   0.0000","   0.000000","0","0","     0.0000","   0.000","0"," 0.000000","   0.00000","0","    0.0000","0","     0.000","0.00000000","0.000000e+00","  0.00","0","0.000000e+00","  0.0000","    0.00","    0.0","  0.0000","0","0.000000","0","0.000000","0","0","0","0","0","0","     0.00000"," 0.00","   0.000","    0.00","0","0","0","     0.0000","0","0","0","0","0"," 0.00000","0","0","0","0","0","0","    0.00","0.0000000","0","    0.000","0","0","0","    0.0000","     0.0","   0.00","0","0","    0.000","0","0","   0.00000","     0.0","0","0","0","    0.0000","0","0","    0.0000","  0.0000","0","0.000000e+00"," 0.000000"," 0.00000","0","    0.00","     0.0","0","0","   0.000000","0","   0.000","0","    0.00","0","    0.000","      0","    0.0","   0.0000","0","0","  0.0000","0","0","0","0","0","0","0"," 0.00000","0","    0.000000"," 0.00000","0","   0.000","0.000000","    0.00","0"
"United States of America","0.0000000","    0.0000","0","0","0","   0.000","    0.00","0","   0.000","     0.00000","0","   0.0000","0","0","      0.0","0","     0.0","0","    0.00","0","     0.0","   0.0000","   0.000000","0","0","     0.0000","   0.000","0"," 0.000000","   0.00000","0","    0.0000","0","     0.000","0.00000000","0.000000e+00","  0.00","0","0.000000e+00","  0.0000","    0.00","    0.0","  0.0000","0","0.000000","0","0.000000","0","0","0","0","0","0","     0.00000"," 0.00","   0.000","    0.00","0","0","0","     0.0000","0","0","0","0","0"," 0.00000","0","0","0","0","0","0","    0.00","0.0000000","0","    0.000","0","0","0","    0.0000","     0.0","   0.00","0","0","    0.000","0","0","   0.00000","     0.0","0","0","0","    0.0000","0","0","    0.0000","  0.0000","0","0.000000e+00"," 0.000000"," 0.00000","0","    0.00","     0.0","0","0","   0.000000","0","   0.000","0","    0.00","0","    0.000","      0","    0.0","   0.0000","0","0","  0.0000","0","0","0","0","0","0","0"," 0.00000","0","    0.000000"," 0.00000","0","   0.000","0.000000","    0.00","0"
