"","Viet Nam","Venezuela (Bolivarian Republic of)","Uzbekistan","Uruguay","United States of America","Ukraine","United Kingdom","Uganda","United Arab Emirates","Turkey","Trinidad and Tobago","Thailand","United Republic of Tanzania","China, Taiwan Province of","Syrian Arab Republic","Switzerland","Sweden","Eswatini","Suriname","Sudan (former)","Spain","South Africa","Singapore","Slovakia","Slovenia","Saudi Arabia","Russian Federation","Romania","Zimbabwe","Qatar","Portugal","Poland","Philippines","Peru","Paraguay","Czechia","Panama","Norway","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands Antilles (former)","Netherlands","Nepal","Republic of Moldova","Micronesia (Federated States of)","Mozambique","Morocco","Mongolia","Mexico","Mauritius","Malta","Maldives","Malaysia","Madagascar","China, Macao SAR","Lithuania","Lebanon","Lao People's Democratic Republic","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Kyrgyzstan","Jordan","Japan","Jamaica","Kazakhstan","Italy","Israel","Ireland","Iraq","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Guam","Greece","Ghana","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Faroe Islands","Estonia","El Salvador","Egypt","Ecuador","Dominican Republic","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Colombia","China, mainland","Chile","Sri Lanka","Cayman Islands","Cabo Verde","Canada","Cameroon","Myanmar","Bulgaria","Brunei Darussalam","Aruba","Brazil","Bolivia (Plurinational State of)","Bermuda","Bangladesh","Barbados","Austria","Australia","Argentina","Angola","Algeria","Albania","Afghanistan"
"X","128","127","126","125","124","123","122","121","120","119","118","117","116","115","114","113","112","111","110","109","108","107","106","105","104","103","102","101","100"," 99"," 98"," 97"," 96"," 95"," 94"," 93"," 92"," 91"," 90"," 89"," 88"," 87"," 86"," 85"," 84"," 83"," 82"," 81"," 80"," 79"," 78"," 77"," 76"," 75"," 74"," 73"," 72"," 71"," 70"," 69"," 68"," 67"," 66"," 65"," 64"," 63"," 62"," 61"," 60"," 59"," 58"," 57"," 56"," 55"," 54"," 53"," 52"," 51"," 50"," 49"," 48"," 47"," 46"," 45"," 44"," 43"," 42"," 41"," 40"," 39"," 38"," 37"," 36"," 35"," 34"," 33"," 32"," 31"," 30"," 29"," 28"," 27"," 26"," 25"," 24"," 23"," 22"," 21"," 20"," 19"," 18"," 17"," 16"," 15"," 14"," 13"," 12"," 11"," 10","  9","  8","  7","  6","  5","  4","  3","  2","  1"
"Luxembourg","0","0","0.000000","   0.00","0.000000e+00"," 0.000","0.000000e+00","0","    0.0000","      0","0","     0.0","0","    0.00","    0.00","    0.00000","    0.00000","0","0","0","    0.00","   0.0000"," 0.0000000","    0.0000"," 0.000000","0","  0.000","   0.0000","   0.000","    0.000","0.000000e+00","0.0000000","   0.000","    0.00","  0.0000","0","0","   0.000000","0","  0.0000","     0.0","0","0","     0.0000","  0.0000","0","0","   0.000","0","0"," 0.00000"," 0.0000","0","0","     0.0000"," 0.0000","0","0","0.000000","0","0","  0.000","  0.000","0","0","   0.000","0.00000000","0"," 0.000","0","    0.00","     0.00000","0","0"," 0.000","0","    0.0000","0","0","  0.0000","   0.00000"," 0.00000","0","0","0","    0.000000","0","0","     0.0000","0","0","      0.0000","0.000000","0","0","0","     0.0","0","0","0.000000e+00","0","      0","0","0","    0.00","      0","     0","0","0","0"," 0.00000","0"," 0.000","0","0","0","0.000000e+00","  0.0000","0","     0.0000","0","    0.00000","  0.0000","0","  0.0000","0","    0.00","0"
"Belgium","0","0","0.000000","   0.00","0.000000e+00"," 0.000","0.000000e+00","0","    0.0000","      0","0","     0.0","0","    0.00","    0.00","    0.00000","    0.00000","0","0","0","    0.00","   0.0000"," 0.0000000","    0.0000"," 0.000000","0","  0.000","   0.0000","   0.000","    0.000","0.000000e+00","0.0000000","   0.000","    0.00","  0.0000","0","0","   0.000000","0","  0.0000","     0.0","0","0","     0.0000","  0.0000","0","0","   0.000","0","0"," 0.00000"," 0.0000","0","0","     0.0000"," 0.0000","0","0","0.000000","0","0","  0.000","  0.000","0","0","   0.000","0.00000000","0"," 0.000","0","    0.00","     0.00000","0","0"," 0.000","0","    0.0000","0","0","  0.0000","   0.00000"," 0.00000","0","0","0","    0.000000","0","0","     0.0000","0","0","      0.0000","0.000000","0","0","0","     0.0","0","0","0.000000e+00","0","      0","0","0","    0.00","      0","     0","0","0","0"," 0.00000","0"," 0.000","0","0","0","0.000000e+00","  0.0000","0","     0.0000","0","    0.00000","  0.0000","0","  0.0000","0","    0.00","0"
"Unspecified Area","0","0","0.000000","   0.00","0.000000e+00"," 0.000","0.000000e+00","0","    0.0000","      0","0","     0.0","0","    0.00","    0.00","    0.00000","    0.00000","0","0","0","    0.00","   0.0000"," 0.0000000","    0.0000"," 0.000000","0","  0.000","   0.0000","   0.000","    0.000","0.000000e+00","0.0000000","   0.000","    0.00","  0.0000","0","0","   0.000000","0","  0.0000","     0.0","0","0","     0.0000","  0.0000","0","0","   0.000","0","0"," 0.00000"," 0.0000","0","0","     0.0000"," 0.0000","0","0","0.000000","0","0","  0.000","  0.000","0","0","   0.000","0.00000000","0"," 0.000","0","    0.00","     0.00000","0","0"," 0.000","0","    0.0000","0","0","  0.0000","   0.00000"," 0.00000","0","0","0","    0.000000","0","0","     0.0000","0","0","      0.0000","0.000000","0","0","0","     0.0","0","0","0.000000e+00","0","      0","0","0","    0.00","      0","     0","0","0","0"," 0.00000","0"," 0.000","0","0","0","0.000000e+00","  0.0000","0","     0.0000","0","    0.00000","  0.0000","0","  0.0000","0","    0.00","0"
"Zambia","0","0","0.000000","   0.00","0.000000e+00"," 0.000","0.000000e+00","0","    0.0000","      0","0","     0.0","0","    0.00","    0.00","    0.00000","    0.00000","0","0","0","    0.00","   0.0000"," 0.0000000","    0.0000"," 0.000000","0","  0.000","   0.0000","   0.000","    0.000","0.000000e+00","0.0000000","   0.000","    0.00","  0.0000","0","0","   0.000000","0","  0.0000","     0.0","0","0","     0.0000","  0.0000","0","0","   0.000","0","0"," 0.00000"," 0.0000","0","0","     0.0000"," 0.0000","0","0","0.000000","0","0","  0.000","  0.000","0","0","   0.000","0.00000000","0"," 0.000","0","    0.00","     0.00000","0","0"," 0.000","0","    0.0000","0","0","  0.0000","   0.00000"," 0.00000","0","0","0","    0.000000","0","0","     0.0000","0","0","      0.0000","0.000000","0","0","0","     0.0","0","0","0.000000e+00","0","      0","0","0","    0.00","      0","     0","0","0","0"," 0.00000","0"," 0.000","0","0","0","0.000000e+00","  0.0000","0","     0.0000","0","    0.00000","  0.0000","0","  0.0000","0","    0.00","0"
"Democratic Republic of the Congo","0","0","0.000000","   0.00","0.000000e+00"," 0.000","0.000000e+00","0","    0.0000","      0","0","     0.0","0","    0.00","    0.00","    0.00000","    0.00000","0","0","0","    0.00","   0.0000"," 0.0000000","    0.0000"," 0.000000","0","  0.000","   0.0000","   0.000","    0.000","0.000000e+00","0.0000000","   0.000","    0.00","  0.0000","0","0","   0.000000","0","  0.0000","     0.0","0","0","     0.0000","  0.0000","0","0","   0.000","0","0"," 0.00000"," 0.0000","0","0","     0.0000"," 0.0000","0","0","0.000000","0","0","  0.000","  0.000","0","0","   0.000","0.00000000","0"," 0.000","0","    0.00","     0.00000","0","0"," 0.000","0","    0.0000","0","0","  0.0000","   0.00000"," 0.00000","0","0","0","    0.000000","0","0","     0.0000","0","0","      0.0000","0.000000","0","0","0","     0.0","0","0","0.000000e+00","0","      0","0","0","    0.00","      0","     0","0","0","0"," 0.00000","0"," 0.000","0","0","0","0.000000e+00","  0.0000","0","     0.0000","0","    0.00000","  0.0000","0","  0.0000","0","    0.00","0"
"British Virgin Islands","0","0","0.000000","   0.00","0.000000e+00"," 0.000","0.000000e+00","0","    0.0000","      0","0","     0.0","0","    0.00","    0.00","    0.00000","    0.00000","0","0","0","    0.00","   0.0000"," 0.0000000","    0.0000"," 0.000000","0","  0.000","   0.0000","   0.000","    0.000","0.000000e+00","0.0000000","   0.000","    0.00","  0.0000","0","0","   0.000000","0","  0.0000","     0.0","0","0","     0.0000","  0.0000","0","0","   0.000","0","0"," 0.00000"," 0.0000","0","0","     0.0000"," 0.0000","0","0","0.000000","0","0","  0.000","  0.000","0","0","   0.000","0.00000000","0"," 0.000","0","    0.00","     0.00000","0","0"," 0.000","0","    0.0000","0","0","  0.0000","   0.00000"," 0.00000","0","0","0","    0.000000","0","0","     0.0000","0","0","      0.0000","0.000000","0","0","0","     0.0","0","0","0.000000e+00","0","      0","0","0","    0.00","      0","     0","0","0","0"," 0.00000","0"," 0.000","0","0","0","0.000000e+00","  0.0000","0","     0.0000","0","    0.00000","  0.0000","0","  0.0000","0","    0.00","0"
"Ethiopia","0","0","0.000000","   0.00","0.000000e+00"," 0.000","0.000000e+00","0","    0.0000","      0","0","     0.0","0","    0.00","    0.00","    0.00000","    0.00000","0","0","0","    0.00","   0.0000"," 0.0000000","    0.0000"," 0.000000","0","  0.000"," 373.0325","   0.000","    0.000","0.000000e+00","0.0000000","   0.000","    0.00","  0.0000","0","0","4476.390346","0","  0.0000","     0.0","0","0","282385.6243","  0.0000","0","0","   0.000","0","0"," 0.00000"," 0.0000","0","0","     0.0000"," 0.0000","0","0","0.000000","0","0","  0.000","  0.000","0","0","   0.000","0.00000000","0"," 0.000","0","    0.00","   559.54879","0","0"," 0.000","0","    0.0000","0","0","  0.0000","   0.00000"," 0.00000","0","0","0","    0.000000","0","0","     0.0000","0","0","      0.0000","0.000000","0","0","0","     0.0","0","0","0.000000e+00","0","      0","0","0","    0.00","      0","     0","0","0","0"," 0.00000","0"," 0.000","0","0","0","0.000000e+00","  0.0000","0","     0.0000","0","    0.00000","  0.0000","0","  0.0000","0","    0.00","0"
"Viet Nam","0","0","0.000000","   0.00","0.000000e+00"," 0.000","0.000000e+00","0","    0.0000","      0","0","     0.0","0","    0.00","    0.00","    0.00000","    0.00000","0","0","0","    0.00","   0.0000"," 0.0000000","    0.0000"," 0.000000","0","  0.000","   0.0000","   0.000","    0.000","0.000000e+00","0.0000000","   0.000","    0.00","  0.0000","0","0","   0.000000","0","  0.0000","     0.0","0","0","     0.0000","  0.0000","0","0","   0.000","0","0"," 0.00000"," 0.0000","0","0","     0.0000"," 0.0000","0","0","0.000000","0","0","  0.000","  0.000","0","0","   0.000","0.00000000","0"," 0.000","0","    0.00","     0.00000","0","0"," 0.000","0","    0.0000","0","0","  0.0000","   0.00000"," 0.00000","0","0","0","    0.000000","0","0","     0.0000","0","0","      0.0000","0.000000","0","0","0","     0.0","0","0","0.000000e+00","0","      0","0","0","    0.00","      0","     0","0","0","0"," 0.00000","0"," 0.000","0","0","0","0.000000e+00","  0.0000","0","     0.0000","0","    0.00000","  0.0000","0","  0.0000","0","    0.00","0"
"Venezuela (Bolivarian Republic of)","0","0","0.000000","   0.00","0.000000e+00"," 0.000","0.000000e+00","0","    0.0000","      0","0","     0.0","0","    0.00","    0.00","    0.00000","    0.00000","0","0","0","    0.00","   0.0000"," 0.0000000","    0.0000"," 0.000000","0","  0.000","   0.0000","   0.000","    0.000","0.000000e+00","0.0000000","   0.000","    0.00","  0.0000","0","0","   0.000000","0","  0.0000","     0.0","0","0","     0.0000","  0.0000","0","0","   0.000","0","0"," 0.00000"," 0.0000","0","0","     0.0000"," 0.0000","0","0","0.000000","0","0","  0.000","  0.000","0","0","   0.000","0.00000000","0"," 0.000","0","    0.00","     0.00000","0","0"," 0.000","0","    0.0000","0","0","  0.0000","   0.00000"," 0.00000","0","0","0","    0.000000","0","0","     0.0000","0","0","      0.0000","0.000000","0","0","0","     0.0","0","0","0.000000e+00","0","      0","0","0","    0.00","      0","     0","0","0","0"," 0.00000","0"," 0.000","0","0","0","0.000000e+00","  0.0000","0","     0.0000","0","    0.00000","  0.0000","0","  0.0000","0","    0.00","0"
