"","United States of America","Ukraine","United Kingdom","Uganda","United Arab Emirates","Turkey","Trinidad and Tobago","Thailand","United Republic of Tanzania","China, Taiwan Province of","Syrian Arab Republic","Switzerland","Sweden","Eswatini","Suriname","Sudan (former)","Spain","South Africa","Singapore","Slovakia","Slovenia","Saudi Arabia","Saint Helena, Ascension and Tristan da Cunha","Russian Federation","Romania","Zimbabwe","Qatar","Portugal","Poland","Philippines","Peru","Paraguay","Czechia","Panama","Norway","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands Antilles (former)","Netherlands","Nepal","Republic of Moldova","Mozambique","Morocco","Mexico","Mauritius","Malta","Maldives","Malaysia","Malawi","China, Macao SAR","Lithuania","Lebanon","Lao People's Democratic Republic","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Kyrgyzstan","Jordan","Japan","Jamaica","Kazakhstan","Italy","Israel","Ireland","Iraq","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Guam","Greece","Ghana","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Fiji","Faroe Islands","Estonia","El Salvador","Egypt","Ecuador","Dominican Republic","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Congo","Colombia","China, mainland","Chile","Sri Lanka","Cayman Islands","Cabo Verde","Canada","Cameroon","Myanmar","Bulgaria","Brunei Darussalam","Aruba","Brazil","Bolivia (Plurinational State of)","Bangladesh","Barbados","Bahamas","Austria","Australia","Argentina","Angola","Algeria","Albania","Afghanistan"
"Luxembourg","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Belgium","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Unspecified Area","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Zambia","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Democratic Republic of the Congo","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"British Virgin Islands","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Ethiopia","     0.00000","0","   121.55924","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","121559.2","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Viet Nam","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Venezuela (Bolivarian Republic of)","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Uzbekistan","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
