"","United Arab Emirates","Turkey","Trinidad and Tobago","Thailand","United Republic of Tanzania","China, Taiwan Province of","Syrian Arab Republic","Switzerland","Sweden","Eswatini","Suriname","Sudan (former)","Spain","South Africa","Singapore","Slovakia","Slovenia","Sierra Leone","Saudi Arabia","Sao Tome and Principe","Saint Helena, Ascension and Tristan da Cunha","Russian Federation","Romania","Zimbabwe","Qatar","Guinea-Bissau","Portugal","Poland","Philippines","Peru","Paraguay","Papua New Guinea","Czechia","Panama","Norway","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands Antilles (former)","Netherlands","Nepal","Republic of Moldova","Mozambique","Morocco","Mongolia","Mexico","Mauritius","Malta","Maldives","Malaysia","Malawi","Madagascar","China, Macao SAR","Lithuania","Libya","Lebanon","Lao People's Democratic Republic","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Kyrgyzstan","Jordan","Japan","Jamaica","Kazakhstan","Côte d'Ivoire","Italy","Israel","Ireland","Iraq","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Guam","Greece","Ghana","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Fiji","Estonia","El Salvador","Egypt","Ecuador","Dominican Republic","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Congo","Colombia","China, mainland","Chile","Sri Lanka","Cayman Islands","Cabo Verde","Canada","Cameroon","Myanmar","Bulgaria","Brunei Darussalam","Aruba","Brazil","Bolivia (Plurinational State of)","Bangladesh","Barbados","Bahamas","Austria","Australia","Argentina","Angola","Algeria","Afghanistan"
"Ethiopia","     0.0000","     0.00000"," 0.00000","0.000000e+00","0","  0.0000","    0.00","    0.000000","   0.0000","0","0","    0.00","    0.0000","0.000000"," 0.00000","   0.00000","   0.000000","0","  9001.13938","0","0"," 0.000000","0.000000e+00","   0.000","  0.0000","0","0.000000e+00","  0.0000","  0.00000","    0.0","   0.000","0"," 0.00000","0","  0.000000","0"," 0.00000","0","0","0.000000","    0.000000","   0.000","   0.0000","  0.0000","0","0","0","  0.0000","0","0","    0.0000","    0.00","0.000000","0","0","   0.000","    0.00","0","0.000000","   0.00000","0","0","0","0.000000","0.0000000","     0.00000","    0.000","0","0","0.000000","     0.000","0","0","0","     0.0","     0.0","0.0000000","0","0.000000","     0.00000","0","0","0","0","    0.000000","0","   0.000","0.000000e+00","0","0","0.000000e+00","0.000000","0","  0.0000","0","     0.0","0","0","     0.0","0","    0.0000","0","0","0","    0.00","      0.00","    0.0","    0.000","0","0","   0.0000","0","0","     0.00000","0","0","  0.000","   0.000","  0.0000","0","0","     0.00000"," 0.00000","0.000000","0","0","0"
"Viet Nam","     0.0000","     0.00000"," 0.00000","0.000000e+00","0","  0.0000","    0.00","    0.000000","   0.0000","0","0","    0.00","    0.0000","0.000000"," 0.00000","   0.00000","   0.000000","0","     0.00000","0","0"," 0.000000","0.000000e+00","   0.000","  0.0000","0","0.000000e+00","  0.0000","  0.00000","    0.0","   0.000","0"," 0.00000","0","  0.000000","0"," 0.00000","0","0","0.000000","    0.000000","   0.000","   0.0000","  0.0000","0","0","0","  0.0000","0","0","    0.0000","    0.00","0.000000","0","0","   0.000","    0.00","0","0.000000","   0.00000","0","0","0","0.000000","0.0000000","     0.00000","    0.000","0","0","0.000000","     0.000","0","0","0","     0.0","     0.0","0.0000000","0","0.000000","     0.00000","0","0","0","0","    0.000000","0","   0.000","0.000000e+00","0","0","0.000000e+00","0.000000","0","  0.0000","0","     0.0","0","0","     0.0","0","    0.0000","0","0","0","    0.00","      0.00","    0.0","    0.000","0","0","   0.0000","0","0","     0.00000","0","0","  0.000","   0.000","  0.0000","0","0","     0.00000"," 0.00000","0.000000","0","0","0"
"Venezuela (Bolivarian Republic of)","     0.0000","     0.00000"," 0.00000","0.000000e+00","0","  0.0000","    0.00","    0.000000","   0.0000","0","0","    0.00","    0.0000","0.000000"," 0.00000","   0.00000","   0.000000","0","     0.00000","0","0"," 0.000000","0.000000e+00","   0.000","  0.0000","0","0.000000e+00","  0.0000","  0.00000","    0.0","   0.000","0"," 0.00000","0","  0.000000","0"," 0.00000","0","0","0.000000","    0.000000","   0.000","   0.0000","  0.0000","0","0","0","  0.0000","0","0","    0.0000","    0.00","0.000000","0","0","   0.000","    0.00","0","0.000000","   0.00000","0","0","0","0.000000","0.0000000","     0.00000","    0.000","0","0","0.000000","     0.000","0","0","0","     0.0","     0.0","0.0000000","0","0.000000","     0.00000","0","0","0","0","    0.000000","0","   0.000","0.000000e+00","0","0","0.000000e+00","0.000000","0","  0.0000","0","     0.0","0","0","     0.0","0","    0.0000","0","0","0","    0.00","      0.00","    0.0","    0.000","0","0","   0.0000","0","0","     0.00000","0","0","  0.000","   0.000","  0.0000","0","0","     0.00000"," 0.00000","0.000000","0","0","0"
"Uzbekistan","     0.0000","     0.00000"," 0.00000","0.000000e+00","0","  0.0000","    0.00","    0.000000","   0.0000","0","0","    0.00","    0.0000","0.000000"," 0.00000","   0.00000","   0.000000","0","     0.00000","0","0"," 0.000000","0.000000e+00","   0.000","  0.0000","0","0.000000e+00","  0.0000","  0.00000","    0.0","   0.000","0"," 0.00000","0","  0.000000","0"," 0.00000","0","0","0.000000","    0.000000","   0.000","   0.0000","  0.0000","0","0","0","  0.0000","0","0","    0.0000","    0.00","0.000000","0","0","   0.000","    0.00","0","0.000000","   0.00000","0","0","0","0.000000","0.0000000","     0.00000","    0.000","0","0","0.000000","     0.000","0","0","0","     0.0","     0.0","0.0000000","0","0.000000","     0.00000","0","0","0","0","    0.000000","0","   0.000","0.000000e+00","0","0","0.000000e+00","0.000000","0","  0.0000","0","     0.0","0","0","     0.0","0","    0.0000","0","0","0","    0.00","      0.00","    0.0","    0.000","0","0","   0.0000","0","0","     0.00000","0","0","  0.000","   0.000","  0.0000","0","0","     0.00000"," 0.00000","0.000000","0","0","0"
"Uruguay","     0.0000","     0.00000"," 0.00000","0.000000e+00","0","  0.0000","    0.00","    0.000000","   0.0000","0","0","    0.00","    0.0000","0.000000"," 0.00000","   0.00000","   0.000000","0","     0.00000","0","0"," 0.000000","0.000000e+00","   0.000","  0.0000","0","0.000000e+00","  0.0000","  0.00000","    0.0","   0.000","0"," 0.00000","0","  0.000000","0"," 0.00000","0","0","0.000000","    0.000000","   0.000","   0.0000","  0.0000","0","0","0","  0.0000","0","0","    0.0000","    0.00","0.000000","0","0","   0.000","    0.00","0","0.000000","   0.00000","0","0","0","0.000000","0.0000000","     0.00000","    0.000","0","0","0.000000","     0.000","0","0","0","     0.0","     0.0","0.0000000","0","0.000000","     0.00000","0","0","0","0","    0.000000","0","   0.000","0.000000e+00","0","0","0.000000e+00","0.000000","0","  0.0000","0","     0.0","0","0","     0.0","0","    0.0000","0","0","0","    0.00","      0.00","    0.0","    0.000","0","0","   0.0000","0","0","     0.00000","0","0","  0.000","   0.000","  0.0000","0","0","     0.00000"," 0.00000","0.000000","0","0","0"
"United States of America","     0.0000","     0.00000"," 0.00000","0.000000e+00","0","  0.0000","    0.00","    0.000000","   0.0000","0","0","    0.00","    0.0000","0.000000"," 0.00000","   0.00000","   0.000000","0","     0.00000","0","0"," 0.000000","0.000000e+00","   0.000","  0.0000","0","0.000000e+00","  0.0000","  0.00000","    0.0","   0.000","0"," 0.00000","0","  0.000000","0"," 0.00000","0","0","0.000000","    0.000000","   0.000","   0.0000","  0.0000","0","0","0","  0.0000","0","0","    0.0000","    0.00","0.000000","0","0","   0.000","    0.00","0","0.000000","   0.00000","0","0","0","0.000000","0.0000000","     0.00000","    0.000","0","0","0.000000","     0.000","0","0","0","     0.0","     0.0","0.0000000","0","0.000000","     0.00000","0","0","0","0","    0.000000","0","   0.000","0.000000e+00","0","0","0.000000e+00","0.000000","0","  0.0000","0","     0.0","0","0","     0.0","0","    0.0000","0","0","0","    0.00","      0.00","    0.0","    0.000","0","0","   0.0000","0","0","     0.00000","0","0","  0.000","   0.000","  0.0000","0","0","     0.00000"," 0.00000","0.000000","0","0","0"
"Ukraine","     0.0000","     0.00000"," 0.00000","0.000000e+00","0","  0.0000","    0.00","    0.000000","   0.0000","0","0","    0.00","    0.0000","0.000000"," 0.00000","   0.00000","   0.000000","0","     0.00000","0","0"," 0.000000","0.000000e+00","   0.000","  0.0000","0","0.000000e+00","  0.0000","  0.00000","    0.0","   0.000","0"," 0.00000","0","  0.000000","0"," 0.00000","0","0","0.000000","    0.000000","   0.000","   0.0000","  0.0000","0","0","0","  0.0000","0","0","    0.0000","    0.00","0.000000","0","0","   0.000","    0.00","0","0.000000","   0.00000","0","0","0","0.000000","0.0000000","     0.00000","    0.000","0","0","0.000000","     0.000","0","0","0","     0.0","     0.0","0.0000000","0","0.000000","     0.00000","0","0","0","0","    0.000000","0","   0.000","0.000000e+00","0","0","0.000000e+00","0.000000","0","  0.0000","0","     0.0","0","0","     0.0","0","    0.0000","0","0","0","    0.00","      0.00","    0.0","    0.000","0","0","   0.0000","0","0","     0.00000","0","0","  0.000","   0.000","  0.0000","0","0","     0.00000"," 0.00000","0.000000","0","0","0"
"United Kingdom","     0.0000","     0.00000"," 0.00000","0.000000e+00","0","  0.0000","    0.00","    0.000000","   0.0000","0","0","    0.00","    0.0000","0.000000"," 0.00000","   0.00000","   0.000000","0","     0.00000","0","0"," 0.000000","0.000000e+00","   0.000","  0.0000","0","0.000000e+00","  0.0000","  0.00000","    0.0","   0.000","0"," 0.00000","0","  0.000000","0"," 0.00000","0","0","0.000000","    0.000000","   0.000","   0.0000","  0.0000","0","0","0","  0.0000","0","0","    0.0000","    0.00","0.000000","0","0","   0.000","    0.00","0","0.000000","   0.00000","0","0","0","0.000000","0.0000000","     0.00000","    0.000","0","0","0.000000","     0.000","0","0","0","     0.0","     0.0","0.0000000","0","0.000000","     0.00000","0","0","0","0","    0.000000","0","   0.000","0.000000e+00","0","0","0.000000e+00","0.000000","0","  0.0000","0","     0.0","0","0","     0.0","0","    0.0000","0","0","0","    0.00","      0.00","    0.0","    0.000","0","0","   0.0000","0","0","     0.00000","0","0","  0.000","   0.000","  0.0000","0","0","     0.00000"," 0.00000","0.000000","0","0","0"
"Uganda","     0.0000","     0.00000"," 0.00000","0.000000e+00","0","  0.0000","    0.00","    0.000000","   0.0000","0","0","    0.00","    0.0000","0.000000"," 0.00000","   0.00000","   0.000000","0","     0.00000","0","0"," 0.000000","0.000000e+00","   0.000","  0.0000","0","0.000000e+00","  0.0000","  0.00000","    0.0","   0.000","0"," 0.00000","0","  0.000000","0"," 0.00000","0","0","0.000000","    0.000000","   0.000","   0.0000","  0.0000","0","0","0","  0.0000","0","0","    0.0000","    0.00","0.000000","0","0","   0.000","    0.00","0","0.000000","   0.00000","0","0","0","0.000000","0.0000000","     0.00000","    0.000","0","0","0.000000","     0.000","0","0","0","     0.0","     0.0","0.0000000","0","0.000000","     0.00000","0","0","0","0","    0.000000","0","   0.000","0.000000e+00","0","0","0.000000e+00","0.000000","0","  0.0000","0","     0.0","0","0","     0.0","0","    0.0000","0","0","0","    0.00","      0.00","    0.0","    0.000","0","0","   0.0000","0","0","     0.00000","0","0","  0.000","   0.000","  0.0000","0","0","     0.00000"," 0.00000","0.000000","0","0","0"
"United Arab Emirates","     0.0000","     0.00000"," 0.00000","0.000000e+00","0","  0.0000","    0.00","    0.000000","   0.0000","0","0","    0.00","    0.0000","0.000000"," 0.00000","   0.00000","   0.000000","0","     0.00000","0","0"," 0.000000","0.000000e+00","   0.000","  0.0000","0","0.000000e+00","  0.0000","  0.00000","    0.0","   0.000","0"," 0.00000","0","  0.000000","0"," 0.00000","0","0","0.000000","    0.000000","   0.000","   0.0000","  0.0000","0","0","0","  0.0000","0","0","    0.0000","    0.00","0.000000","0","0","   0.000","    0.00","0","0.000000","   0.00000","0","0","0","0.000000","0.0000000","     0.00000","    0.000","0","0","0.000000","     0.000","0","0","0","     0.0","     0.0","0.0000000","0","0.000000","     0.00000","0","0","0","0","    0.000000","0","   0.000","0.000000e+00","0","0","0.000000e+00","0.000000","0","  0.0000","0","     0.0","0","0","     0.0","0","    0.0000","0","0","0","    0.00","      0.00","    0.0","    0.000","0","0","   0.0000","0","0","     0.00000","0","0","  0.000","   0.000","  0.0000","0","0","     0.00000"," 0.00000","0.000000","0","0","0"
