"","Trinidad and Tobago","Tonga","Thailand","United Republic of Tanzania","China, Taiwan Province of","Turkmenistan","Syrian Arab Republic","Switzerland","Sweden","Eswatini","Suriname","Spain","South Africa","Singapore","Slovakia","Slovenia","Saudi Arabia","Sao Tome and Principe","Russian Federation","Romania","Zimbabwe","Qatar","Portugal","Poland","Philippines","Peru","Paraguay","Papua New Guinea","Czechia","Panama","Norway","Niger","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands","Nepal","Republic of Moldova","Mozambique","Morocco","Mexico","Mauritius","Mauritania","Malta","Maldives","Malaysia","Malawi","Madagascar","China, Macao SAR","Lithuania","Libya","Lebanon","Lao People's Democratic Republic","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Kyrgyzstan","Jordan","Japan","Jamaica","Kazakhstan","Côte d'Ivoire","Italy","Israel","Ireland","Iraq","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Guam","Greece","Ghana","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Fiji","Faroe Islands","Estonia","El Salvador","Egypt","Ecuador","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Congo","Colombia","China, mainland","Chile","Sri Lanka","Cabo Verde","Canada","Cameroon","Myanmar","Bulgaria","Brunei Darussalam","Solomon Islands","Belize","Aruba","Brazil","Bolivia (Plurinational State of)","Bangladesh","Barbados","Bahamas","Austria","Australia","Argentina","Angola","Algeria","Afghanistan"
"Democratic Republic of the Congo","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Ethiopia","0.000000","0","    0.00","0","85448.1606","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","2796.231053","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0"," 77024.5145","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","1747.644","0","0","5825.481","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","127612.99","10485.87","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","7689.6354","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Viet Nam","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Venezuela (Bolivarian Republic of)","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Uzbekistan","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Uruguay","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"United States of America","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Ukraine","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"United Kingdom","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Uganda","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
