Countries,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Spain,75022.0105,265624.8389,377307.342,154408.53,30549.18,42598.24,47222.46,46487.073,40616.185,76850.2676,66582.254,110704.30407,31881.120100000004,57556.242,17301.95963,19771.690499999997,88168.98060000001
South Africa,43029.55,7451.188,22924.9771,17578.0614,146.6661,7011.15716,6678.75,55164.67761,4000.9359999999997,1.6488040000000002,46.329913700000006,2239.1490909999998,465.32859999999994,2805.2053769999998,19.61865,160.75283050000002,14735.47
Singapore,35213.62,0,5.701764,3.394339,105.44277,8542.457,190.53230580000002,10.2171772,2805.17904,110.53334,2410.0297,5490.3436,218.76014999999998,183.482,138.51004,9.290548,14118.09
Slovakia,53.040980000000005,19.202103,45.995374,733.768328,10.413266,32.43846,12528.7173,107.23200000000001,1484.0582499999998,4422.671060000001,14507.238940000001,54005.9821,139083.8462,1466.8007,1362.7435,1035.874495,24.457752
Slovenia,77.80496,3224.38151,808.3441,3474.96,593.5569,129.279645,139.18236499999998,258.1305,1682.093103,1159.267294,27.578385200000003,46.16503,440.9078,71.15841999999999,3702.8438199999996,293.47801,65.00823000000001
Saudi Arabia,20737.533199999998,11128.564,0,27959.17,16200.645199999999,1605.63503,103,3395.97237,19539.73404,499532.21702000004,226.1297512,1873.4339160000004,113.49167,172.146029,213.43409880000002,408.29237300000005,4319.43979
Russian Federation,98347.28010080001,0.02765296,0,0,73.33304,0,527.503,0,1226.6369,25.696538999999998,30.88131,85.709616,108.4332,250.9756585,249.05474,42.549643,39429.83167982
Romania,2070.9591649999998,3273266.38644,14442.614975,334.46509000000003,3670.6125399999996,1200.9927500000001,3026.8444000000004,77509.60990000001,840826.5378599999,220288.431917,403432.36341999995,242222.7024,107904.51094000001,66092.34405399999,22510.061160999998,18808.232300000003,1724.2392900000002
Zimbabwe,0,118.81,542.3408,198341.4,25043.55,163721.7,2603.778,1081.595,10990.59,2786.562,0,104.0972,2946.0229999999997,0,0,0,0
Portugal,375852.17064,1475914.12471,9373346.011140002,27712269.87611,32874422.67242,13528346.302730002,13600242.552410001,175828135.33283,76148182.56379999,32500569.09925,61403081.91182,17940230.36043,155211409.88538998,142507041.08681002,109340955.46428001,45119271.0139,874573.5693999999
Poland,1311.668,542.5077,597.1551999999999,49.320859999999996,28.6186,41.506280000000004,97.9349974,0,99,431.6553,0,5.918593,160.83852000000002,485.24397999999997,180.8324,41.635577999999995,218.5936
Philippines,8374.964,49769.64,66465.82,58657.19849,50976.98,25380.1341,5055.319,7247.815,14731.788475999998,810.32447,8933.405,5804.907999999999,1778.4029,3358.9651000000003,3224.608,3.096849,2868.006
Peru,20277.56,46719.4,64684.91,61426.22,4543.497,98717.672,11484.02,9341.86429,18899.64,20432.8,16386.45,8159.934294,4994.208,0,30497.43,23376.42,6944.05
Paraguay,0,215.7698,0,1272.4660000000001,3591.9109999999996,17658.27,458.3177,3297.5429999999997,5373.848000000001,6788.9490000000005,2809.009,6255.453,8117.66,3771.0190000000002,2578.656,2036.2939999999999,0
Czechia,771.31341,2.228006,6.6176580000000005,0,7.37796,19.364620000000002,93,0,139.80811,120.97636,200.2914,202.3084,9407.597300000001,9087.081,18.230970000000003,134.12102,130.49408400000002
Panama,0,0,0,0,0,0,92,0,94,0,0,658.5237,869.7492,0,20154.828,0,0
